"Date","Price","Volume","Market_cap"
"2023-08-25 00:00:00 UTC+0","0.00000088","282101585.343753","372036842.64385760"
"2023-08-24 00:00:00 UTC+0","0.00000094","177552972.552203","396464840.25242454"
"2023-08-23 00:00:00 UTC+0","0.00000110","77006740.868073","464089069.12211627"
"2023-08-22 00:00:00 UTC+0","0.00000107","70732458.762850","449487718.10611590"
"2023-08-21 00:00:00 UTC+0","0.00000109","62788765.849370","457899206.89499390"
"2023-08-20 00:00:00 UTC+0","0.00000112","39059324.041447","471355389.75722915"
"2023-08-19 00:00:00 UTC+0","0.00000114","68503093.806942","478268982.51140726"
"2023-08-18 00:00:00 UTC+0","0.00000109","100783643.764596","458653793.40295520"
"2023-08-17 00:00:00 UTC+0","0.00000109","188122464.066410","456716027.67447907"
"2023-08-16 00:00:00 UTC+0","0.00000116","134801557.411725","490092470.59380364"
"2023-08-15 00:00:00 UTC+0","0.00000127","126009057.358613","533429322.83902600"
"2023-08-14 00:00:00 UTC+0","0.00000140","149242216.379340","589991744.03749730"
"2023-08-13 00:00:00 UTC+0","0.00000136","112849331.629780","574178906.06182730"
"2023-08-12 00:00:00 UTC+0","0.00000136","145204629.091106","570061356.34572040"
"2023-08-11 00:00:00 UTC+0","0.00000125","59858045.492694","524801880.38961280"
"2023-08-10 00:00:00 UTC+0","0.00000123","79685037.125444","518114958.17473350"
"2023-08-09 00:00:00 UTC+0","0.00000123","140589470.830460","517336580.02298810"
"2023-08-08 00:00:00 UTC+0","0.00000117","151641969.458772","494212838.55471030"
"2023-08-07 00:00:00 UTC+0","0.00000112","98068145.418163","470083101.28126710"
"2023-08-06 00:00:00 UTC+0","0.00000116","58963394.724029","486338219.32898550"
"2023-08-05 00:00:00 UTC+0","0.00000116","66895485.393314","486319569.47827810"
"2023-08-04 00:00:00 UTC+0","0.00000115","65122656.323177","485107756.99920380"
"2023-08-03 00:00:00 UTC+0","0.00000120","53766399.994046","504135475.43553670"
"2023-08-02 00:00:00 UTC+0","0.00000122","102632916.518535","512152182.83286500"
"2023-08-01 00:00:00 UTC+0","0.00000130","124317199.565536","546977378.16515960"
"2023-07-31 00:00:00 UTC+0","0.00000123","80106599.566861","519542468.51673335"
"2023-07-30 00:00:00 UTC+0","0.00000130","78167228.384130","545406432.50752090"
"2023-07-29 00:00:00 UTC+0","0.00000135","39826623.143199","567679253.47290280"
"2023-07-28 00:00:00 UTC+0","0.00000134","91720231.453060","563346281.41889620"
"2023-07-27 00:00:00 UTC+0","0.00000135","126871927.538693","567161332.07846700"
"2023-07-26 00:00:00 UTC+0","0.00000134","142984825.690652","561751210.36811020"
"2023-07-25 00:00:00 UTC+0","0.00000131","53503716.863805","550454012.50586440"
"2023-07-24 00:00:00 UTC+0","0.00000135","126114002.850453","567675394.45745000"
"2023-07-23 00:00:00 UTC+0","0.00000151","54063087.628974","634169929.57561230"
"2023-07-22 00:00:00 UTC+0","0.00000149","43836086.440230","624964880.48146870"
"2023-07-21 00:00:00 UTC+0","0.00000152","94057744.958695","640630443.69486310"
"2023-07-20 00:00:00 UTC+0","0.00000150","87225427.174835","631649256.49620580"
"2023-07-19 00:00:00 UTC+0","0.00000153","80350976.027800","642914252.75262240"
"2023-07-18 00:00:00 UTC+0","0.00000152","89932708.185594","638600414.04791950"
"2023-07-17 00:00:00 UTC+0","0.00000158","122935298.341812","663300896.45035170"
"2023-07-16 00:00:00 UTC+0","0.00000158","76916993.920931","662657532.20901130"
"2023-07-15 00:00:00 UTC+0","0.00000164","135020700.550221","691706488.07934930"
"2023-07-14 00:00:00 UTC+0","0.00000165","344947822.948210","693821094.60482490"
"2023-07-13 00:00:00 UTC+0","0.00000172","266252584.829080","721832452.85957040"
"2023-07-12 00:00:00 UTC+0","0.00000151","103299098.335355","633509195.02566160"
"2023-07-11 00:00:00 UTC+0","0.00000151","81975635.832313","633533420.45468390"
"2023-07-10 00:00:00 UTC+0","0.00000151","164323843.642027","637079984.60400470"
"2023-07-09 00:00:00 UTC+0","0.00000155","72014305.366795","649990501.11953150"
"2023-07-08 00:00:00 UTC+0","0.00000155","72456836.363613","653293216.92952860"
"2023-07-07 00:00:00 UTC+0","0.00000157","164871245.864558","659916619.61817720"
"2023-07-06 00:00:00 UTC+0","0.00000154","226083871.812919","649399397.60626220"
"2023-07-05 00:00:00 UTC+0","0.00000166","156305147.246898","697580285.43619540"
"2023-07-04 00:00:00 UTC+0","0.00000171","231162975.287851","720945388.15648940"
"2023-07-03 00:00:00 UTC+0","0.00000184","402427338.033629","773326671.61503590"
"2023-07-02 00:00:00 UTC+0","0.00000158","112696187.234461","665819319.08478260"
"2023-07-01 00:00:00 UTC+0","0.00000155","120388573.806858","652668166.05420600"
"2023-06-30 00:00:00 UTC+0","0.00000163","419031374.057644","685084161.34576190"
"2023-06-29 00:00:00 UTC+0","0.00000154","220964083.572218","648203444.21130440"
"2023-06-28 00:00:00 UTC+0","0.00000143","180913609.590930","599823329.93242280"
"2023-06-27 00:00:00 UTC+0","0.00000161","228446150.301885","679063470.10716620"
"2023-06-26 00:00:00 UTC+0","0.00000151","222166354.671699","635216573.95296510"
"2023-06-25 00:00:00 UTC+0","0.00000160","298088777.657796","674737533.19565710"
"2023-06-24 00:00:00 UTC+0","0.00000155","400133684.908804","653809726.05248950"
"2023-06-23 00:00:00 UTC+0","0.00000165","561740095.906543","694534989.84981900"
"2023-06-22 00:00:00 UTC+0","0.00000155","940255265.563712","653685103.97009200"
"2023-06-21 00:00:00 UTC+0","0.00000138","583521856.964685","581186969.89549590"
"2023-06-20 00:00:00 UTC+0","0.00000106","151017893.669341","446350454.82003900"
"2023-06-19 00:00:00 UTC+0","0.00000094","87724958.930055","395479635.20620420"
"2023-06-18 00:00:00 UTC+0","0.00000094","85108209.145174","394715096.64736134"
"2023-06-17 00:00:00 UTC+0","0.00000100","138426683.724729","421501024.71381520"
"2023-06-16 00:00:00 UTC+0","0.00000097","209368488.028735","407660679.81822430"
"2023-06-15 00:00:00 UTC+0","0.00000089","114199352.143949","376392202.78182197"
"2023-06-14 00:00:00 UTC+0","0.00000089","108201885.012836","374401488.19464870"
"2023-06-13 00:00:00 UTC+0","0.00000092","144778966.890199","385274969.63575180"
"2023-06-12 00:00:00 UTC+0","0.00000091","114318886.673684","382622722.71599450"
"2023-06-11 00:00:00 UTC+0","0.00000091","104643950.280557","383452765.88572955"
"2023-06-10 00:00:00 UTC+0","0.00000093","224332878.856368","391872166.16864410"
"2023-06-09 00:00:00 UTC+0","0.00000114","169729478.033213","479814319.41833097"
"2023-06-08 00:00:00 UTC+0","0.00000109","118395560.424342","457527063.04605470"
"2023-06-07 00:00:00 UTC+0","0.00000107","158006878.830198","451186233.75560280"
"2023-06-06 00:00:00 UTC+0","0.00000121","383185896.706795","507561721.80649860"
"2023-06-05 00:00:00 UTC+0","0.00000104","202901453.949857","436891697.82733136"
"2023-06-04 00:00:00 UTC+0","0.00000124","83369606.193488","522316383.66088070"
"2023-06-03 00:00:00 UTC+0","0.00000131","136264276.030462","549625894.70847300"
